offer_id,business_id,offer_name,offer_type,price_range,target_type,customer_problem,desired_trigger,high_intent_signals,low_intent_signals,exclusion_signals,preferred_sources,notification_channel,sales_action_type,status,launch_date,owner_approval_required,compliance_flags,memo,ext_json,updated_at,version
of_ai_kit,ai_net_business,AI店舗集客7日間立て直しキット,digital_product,5000-29800,store_owner,SNSが続かない・投稿ネタがない・AI使い方不明,SNS停止・口コミ減少・Google順位低下,投稿できない 困っている|SNS更新停止|Google投稿したい|ChatGPT使えない|口コミ返信大変,興味ある|気になる,MEO業者|SNS代行|AI講師|情報商材,google_serp|instagram_serp|threads_serp,line_queue,dm_candidate|inquiry_form_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_ai_template,ai_net_business,業種別AI投稿テンプレ完全版,digital_product,2980-9800,store_owner,投稿ネタがない・時間がない,投稿ネタ切れ言及|SNS更新停止,テンプレほしい|投稿文作れない|ネタ切れ,テンプレ探し中,競合教材販売者,google_serp|instagram_serp,line_queue,dm_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_catering_corporate,trees_catering,法人懇親会ケータリング,service,50000-300000,company,社内イベント食事の手配が面倒・どこに頼めばいいか不明,社内イベント・懇親会・歓送迎会企画時,ケータリング 探している|法人 弁当 注文|懇親会 料理 外注|イベント 食事 手配,イベント会社|法人,競合ケータリング,google_serp|instagram_serp,line_queue,inquiry_form_candidate|dm_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_catering_event,trees_catering,イベント・パーティーケータリング,service,80000-500000,event_company,イベントのフード手配が大変・信頼できる業者探し,展示会・法人パーティー・表彰式企画時,出張ケータリング|イベント フード|パーティー 料理 業者|ビュッフェ 法人,パーティー|イベント,競合ケータリング業者,google_serp|instagram_serp,line_queue,inquiry_form_candidate|partnership_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_catering_bento,trees_catering,法人弁当・団体食事,service,3000-15000,company,毎回の会議弁当手配が手間・おいしい弁当を探している,定期会議・研修・セミナー,会議 弁当 注文|仕出し弁当 法人|弁当 まとめて注文,法人 弁当,競合弁当業者,google_serp,line_queue,inquiry_form_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_catering_bar,trees_catering,BAR・クラブ向け出張フード,service,30000-200000,restaurant,貸切パーティーのフード手配,プライベートパーティー・貸切イベント,パーティー フード|立食 料理 手配|BAR イベント 食事,パーティー企画,競合ケータリング,google_serp|instagram_serp,line_queue,dm_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_catering_hotel,trees_catering,ホテル・会場向けケータリング補完,service,100000-1000000,hotel,宴会フードの補完・外部委託先探し,宴会・レセプション・企業イベント,ホテル 宴会 外部委託|会場 ケータリング 下請け|レセプション 料理,宴会担当,競合ケータリング業者,google_serp,line_queue,partnership_candidate|inquiry_form_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_tachinomiya_visit,tachinomiya,来店誘導（観光客・地域客）,visit_acquisition,0,tourist_individual,国際通りで2軒目・軽飲食どこ行く問題,沖縄旅行・国際通り散策中,国際通り BAR おすすめ|沖縄 立ち飲み|サーターアンダギー 国際通り|沖縄 一人飲み,沖縄旅行計画中,競合立ち飲み,google_serp|instagram_serp|threads_serp,line_queue,visit_candidate|referral_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_beauty_removal,tree_beauty,脱毛サービス,service,10000-100000,local_individual,自己処理が面倒・埋没毛・カミソリ負け,脱毛したい言及・自己処理悩み,脱毛 サロン 沖縄|脱毛 那覇|ムダ毛 処理 大変,脱毛 気になる,カッピング|医療脱毛クリニック,instagram_serp|google_serp,line_queue,dm_candidate,inactive,2026-07-06,false,yakkiho_review_required,{},2026-07-06,1,
of_beauty_whitening,tree_beauty,セルフホワイトニング,service,5000-30000,local_individual,歯の黄ばみ・セルフケアしたい,ホワイトニング気になる言及,ホワイトニング 沖縄|歯 白くしたい,ホワイトニング 気になる,カッピング|医療系ホワイトニング,instagram_serp|google_serp,line_queue,dm_candidate,inactive,2026-07-06,false,yakkiho_review_required,{},2026-07-06,1,
of_beauty_yomogi,tree_beauty,よもぎ蒸し,service,5000-20000,local_individual,冷え・温活したい・リラクゼーション,温活・よもぎ蒸し関心言及,よもぎ蒸し 沖縄|温活 那覇|冷え性 改善 サロン,よもぎ蒸し 気になる,カッピング|医療効果断定,instagram_serp|google_serp,line_queue,dm_candidate,inactive,2026-07-06,false,yakkiho_review_required,{},2026-07-06,1,
of_beauty_collab,tree_beauty,コラボ・相互送客先開拓,partnership,0,salon,相互送客できるサロンを探している,地域美容イベント・マルシェ,美容室 沖縄 コラボ|ネイルサロン 那覇|まつ毛サロン 西原,美容系発信者,カッピング主軸|競合サロン,instagram_serp|google_serp,line_queue,partnership_candidate,inactive,2026-07-06,false,,{},2026-07-06,1,
of_hotpot_inbound,ryukyu_hotpot,インバウンド向けプレミアムディナー,service,8000-30000,tourist_individual,沖縄で特別なディナーを探している,沖縄旅行中・記念日・誕生日,Okinawa birthday dinner|Okinawa premium dinner|Okinawa wagyu|Naha dinner reservation|沖縄 誕生日ディナー|記念日 沖縄 レストラン,Okinawa travel|沖縄旅行,競合火鍋店|低単価,google_serp|instagram_serp,line_queue,visit_candidate|referral_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_hotpot_celebration,ryukyu_hotpot,誕生日・記念日・お祝いディナー,service,8000-30000,local_individual,記念日にふさわしいレストランを探している,誕生日・記念日・お祝い言及,誕生日ディナー 沖縄|記念日ディナー 那覇|お祝い ディナー|サプライズ ディナー 沖縄,記念日 沖縄,競合火鍋店|安さ訴求,google_serp|instagram_serp,line_queue,visit_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_hotpot_partner,ryukyu_hotpot,ホテル・旅行会社パートナー開拓,partnership,0,hotel,宿泊客向けディナー紹介先を探している,ホテルコンシェルジュ・ツアー会社,ホテル 那覇 ディナー紹介|沖縄 旅行会社 レストラン連携|コンシェルジュ おすすめ,ホテル 沖縄,競合火鍋店,google_serp,line_queue,partnership_candidate,active,2026-07-06,false,,{},2026-07-06,1,
of_consulting_store,consulting,店舗向け集客改善コンサル,service,30000-200000,store_owner,集客できない・SNS・GBP改善したい,集客悩み・投稿停止言及,集客できない 飲食店|予約が入らない サロン|Google 投稿 停止|口コミ 増えない,集客 改善,同業コンサル|情報商材|MEO業者,google_serp|instagram_serp,line_queue,inquiry_form_candidate|dm_candidate,inactive,2026-07-06,false,,{},2026-07-06,1,
